"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","h_block","full_address","lat","lon"
"125","Commercial Break and Enter",2013,1,"20XX E HASTINGS ST","2000 E HASTINGS ST","2000 E HASTINGS ST , Vancouver, BC, Canada",49.2810351,-123.0633794
"126","Commercial Break and Enter",2013,1,"4XX SEYMOUR ST","400 SEYMOUR ST","400 SEYMOUR ST , Vancouver, BC, Canada",49.2844743,-123.1129097
"127","Commercial Break and Enter",2013,1,"8XX E BROADWAY AVE","800 E BROADWAY AVE","800 E BROADWAY AVE , Vancouver, BC, Canada",49.26214,-123.08677
"128","Commercial Break and Enter",2013,1,"8XX E HASTINGS ST","800 E HASTINGS ST","800 E HASTINGS ST , Vancouver, BC, Canada",49.2809643,-123.0868638
"129","Commercial Break and Enter",2013,1,"12XX VENABLES ST","1200 VENABLES ST","1200 VENABLES ST , Vancouver, BC, Canada",49.2766651,-123.0796536
"130","Commercial Break and Enter",2013,1,"20XX W 4TH AVE","2000 W 4TH AVE","2000 W 4TH AVE , Vancouver, BC, Canada",49.2679551,-123.150542
"131","Commercial Break and Enter",2013,1,"4XX W HASTINGS ST","400 W HASTINGS ST","400 W HASTINGS ST , Vancouver, BC, Canada",49.28334,-123.11145
"132","Commercial Break and Enter",2013,1,"11XX W BROADWAY AVE","1100 W BROADWAY AVE","1100 W BROADWAY AVE , Vancouver, BC, Canada",49.2633151,-123.1292007
"133","Commercial Break and Enter",2013,1,"4XX W HASTINGS ST","400 W HASTINGS ST","400 W HASTINGS ST , Vancouver, BC, Canada",49.28334,-123.11145
"134","Commercial Break and Enter",2013,1,"2XX CARRALL ST","200 CARRALL ST","200 CARRALL ST , Vancouver, BC, Canada",49.2831513,-123.1040742
"135","Commercial Break and Enter",2013,1,"48XX MACKENZIE ST","4800 MACKENZIE ST","4800 MACKENZIE ST , Vancouver, BC, Canada",49.2431182,-123.1701051
"136","Commercial Break and Enter",2013,1,"5XX BEATTY ST","500 BEATTY ST","500 BEATTY ST , Vancouver, BC, Canada",49.2810072,-123.1084969
"137","Commercial Break and Enter",2013,1,"3XX WATER ST","300 WATER ST","300 WATER ST , Vancouver, BC, Canada",49.2842264,-123.1090181
"138","Commercial Break and Enter",2013,1,"44XX DUNBAR ST","4400 DUNBAR ST","4400 DUNBAR ST , Vancouver, BC, Canada",49.2469435,-123.1850951
