"","TYPE","YEAR","MONTH","HUNDRED_BLOCK","h_block","full_address","lat","lon","cid","lat_offset","lon_offset"
"91","Theft From Auto Under $5000",2008,1,"9XX BURRARD ST","900 BURRARD ST","900 BURRARD ST , Vancouver, BC, Canada",49.2815299,-123.12422,2,49.2816862815368,-123.123805452275
"92","Theft From Auto Under $5000",2008,1,"14XX GRAVELEY ST","1400 GRAVELEY ST","1400 GRAVELEY ST , Vancouver, BC, Canada",49.2704247,-123.0751527,2,49.2708895195847,-123.074905354163
"93","Theft From Auto Under $5000",2008,1,"E PENDER ST / MAIN ST","E PENDER ST / MAIN ST","E PENDER ST  and  MAIN ST , Vancouver, BC, Canada",49.28038,-123.0997,2,49.2805112981574,-123.099497491532
"94","Theft From Auto Under $5000",2008,1,"9XX SW MARINE DR","900 SW MARINE DR","900 SW MARINE DR , Vancouver, BC, Canada",49.205558,-123.1277245,2,49.2057124606939,-123.127307717303
"95","Theft From Auto Under $5000",2008,1,"8XX HAMILTON ST","800 HAMILTON ST","800 HAMILTON ST , Vancouver, BC, Canada",49.2786005,-123.1160139,2,49.2790065554286,-123.115847031409
"96","Theft From Auto Under $5000",2008,1,"22XX ETON ST","2200 ETON ST","2200 ETON ST , Vancouver, BC, Canada",49.2873949,-123.0593603,2,49.287599744981,-123.058887752869
"97","Theft From Auto Under $5000",2008,1,"33XX W 4TH AVE","3300 W 4TH AVE","3300 W 4TH AVE , Vancouver, BC, Canada",49.2683651,-123.1778924,2,49.2686397431513,-123.177717161786
"98","Theft From Auto Under $5000",2008,1,"26XX E 49TH AVE","2600 E 49TH AVE","2600 E 49TH AVE , Vancouver, BC, Canada",49.22431,-123.0541,2,49.2244343355,-123.053729462802
"99","Theft From Auto Under $5000",2008,1,"1XX E CORDOVA ST","100 E CORDOVA ST","100 E CORDOVA ST , Vancouver, BC, Canada",49.28207,-123.10198,2,49.2824511286574,-123.101521694088
"100","Theft From Auto Under $5000",2008,1,"23XX HERMON DR","2300 HERMON DR","2300 HERMON DR , Vancouver, BC, Canada",49.263539,-123.0295826,2,49.263838707347,-123.029282895989
"101","Theft From Auto Under $5000",2008,1,"14XX LAMEYS MILL RD","1400 LAMEYS MILL RD","1400 LAMEYS MILL RD , Vancouver, BC, Canada",49.2674478,-123.1356309,2,49.2676870906989,-123.135226381018
"102","Theft From Auto Under $5000",2008,1,"54XX SHERBROOKE ST","5400 SHERBROOKE ST","5400 SHERBROOKE ST , Vancouver, BC, Canada",49.2357041,-123.0808828,2,49.2360100592248,-123.080536066933
"103","Theft From Auto Under $5000",2008,1,"10XX BURRARD ST","1000 BURRARD ST","1000 BURRARD ST , Vancouver, BC, Canada",49.27986,-123.12661,2,49.2802476365826,-123.12618636205
"104","Theft From Auto Under $5000",2008,1,"27XX W 50TH AVE","2700 W 50TH AVE","2700 W 50TH AVE , Vancouver, BC, Canada",49.2263686,-123.1655609,2,49.226648616726,-123.165364812885
"105","Theft From Auto Under $5000",2008,1,"E 14TH AVE / FRASER ST","E 14TH AVE / FRASER ST","E 14TH AVE  and  FRASER ST , Vancouver, BC, Canada",49.25792,-123.08922,2,49.2582292604724,-123.088951803647
"106","Theft From Auto Under $5000",2008,1,"8XX W HASTINGS ST","800 W HASTINGS ST","800 W HASTINGS ST , Vancouver, BC, Canada",49.2858257,-123.1149501,2,49.2862085299873,-123.114774563751
"107","Theft From Auto Under $5000",2008,1,"75XX MAIN ST","7500 MAIN ST","7500 MAIN ST , Vancouver, BC, Canada",49.216581,-123.1017641,2,49.2167758129436,-123.101293101766
"108","Theft From Auto Under $5000",2008,1,"53XX VICTORIA DR","5300 VICTORIA DR","5300 VICTORIA DR , Vancouver, BC, Canada",49.236934,-123.0652549,2,49.2371279092031,-123.06509808985
"109","Theft From Auto Under $5000",2008,1,"21XX W 18TH AVE","2100 W 18TH AVE","2100 W 18TH AVE , Vancouver, BC, Canada",49.2560651,-123.1531501,2,49.2562062001604,-123.152802895298
"110","Theft From Auto Under $5000",2008,1,"16XX W 8TH AVE","1600 W 8TH AVE","1600 W 8TH AVE , Vancouver, BC, Canada",49.2644251,-123.1412134,2,49.2646142569799,-123.140723216858
"111","Theft From Auto Under $5000",2008,1,"9XX W BROADWAY AVE","900 W BROADWAY AVE","900 W BROADWAY AVE , Vancouver, BC, Canada",49.2632551,-123.1244116,2,49.2637234071028,-123.124204851296
"112","Theft From Auto Under $5000",2008,1,"8XX DENMAN ST","800 DENMAN ST","800 DENMAN ST , Vancouver, BC, Canada",49.2912403,-123.1355415,2,49.2913651332947,-123.135308367712
"113","Theft From Auto Under $5000",2008,1,"8XX W GEORGIA ST","800 W GEORGIA ST","800 W GEORGIA ST , Vancouver, BC, Canada",49.2830872,-123.1193851,2,49.2833644317173,-123.119223866396
"114","Theft From Auto Under $5000",2008,1,"18XX E HASTINGS ST","1800 E HASTINGS ST","1800 E HASTINGS ST , Vancouver, BC, Canada",49.2810646,-123.0679732,2,49.2814869891578,-123.067732331815
"115","Theft From Auto Under $5000",2008,1,"8XX W HASTINGS ST","800 W HASTINGS ST","800 W HASTINGS ST , Vancouver, BC, Canada",49.2858257,-123.1149501,2,49.2863000076836,-123.114829518167
"116","Theft From Auto Under $5000",2008,1,"18XX BARCLAY ST","1800 BARCLAY ST","1800 BARCLAY ST , Vancouver, BC, Canada",49.2900552,-123.1377577,2,49.2902876730103,-123.137363253356
"117","Theft From Auto Under $5000",2008,1,"E 63RD AVE / FRASER ST","E 63RD AVE / FRASER ST","E 63RD AVE  and  FRASER ST , Vancouver, BC, Canada",49.21301,-123.09105,2,49.2133155753117,-123.090584500186
"118","Theft From Auto Under $5000",2008,1,"18XX BARCLAY ST","1800 BARCLAY ST","1800 BARCLAY ST , Vancouver, BC, Canada",49.2900552,-123.1377577,2,49.2902599470138,-123.137404324665
